STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200401,0.15,0.0,70,55
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200402,0.72,0.5,57,24
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200403,0.00,0.0,33,24
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200404,0.00,0.0,33,24
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200405,0.00,0.0,37,18
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200406,0.00,0.0,39,26
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200407,0.00,0.0,46,27
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200408,0.00,0.0,51,27
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200409,0.00,0.0,51,28
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200410,0.00,0.0,58,31
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200411,0.00,0.0,55,44
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200412,0.25,0.0,44,37
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200413,0.00,0.0,48,23
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200414,0.00,0.0,50,27
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200415,0.00,0.0,69,41
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200416,0.34,0.0,55,37
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200417,0.00,0.0,53,33
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200418,0.08,0.0,50,42
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200419,1.22,0.0,49,40
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200420,0.57,0.0,61,44
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200421,0.00,0.0,74,44
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200422,0.00,0.0,67,43
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200423,0.10,0.0,51,42
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200424,0.00,0.0,60,38
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200425,0.00,0.0,60,43
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200426,0.14,0.0,54,40
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200427,0.28,0.0,46,39
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200428,0.10,0.0,57,37
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200429,0.00,0.0,61,34
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200430,0.80,0.0,59,48
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200501,0.12,0.0,65,36
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200502,0.00,0.0,64,49
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200503,0.00,0.0,60,35
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200504,0.00,0.0,55,42
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200505,0.19,0.0,67,46
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200506,0.00,0.0,65,41
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200507,0.00,0.0,70,46
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200508,0.00,0.0,76,42
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200509,0.00,0.0,79,41
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200510,0.00,0.0,78,53
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200511,0.00,0.0,68,52
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200512,1.71,0.0,53,43
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200513,0.90,0.0,57,41
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200514,0.00,0.0,60,31
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200515,0.00,0.0,68,35
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200516,0.00,0.0,59,48
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200517,0.46,0.0,57,50
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200518,0.00,0.0,72,45
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200519,0.10,0.0,73,49
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200520,0.00,0.0,73,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200521,0.00,0.0,79,46
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200522,0.20,0.0,84,59
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200523,0.05,0.0,78,60
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200524,0.00,0.0,75,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200525,0.00,0.0,78,50
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200526,0.00,0.0,83,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200527,0.00,0.0,75,60
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200528,0.03,0.0,71,57
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200529,0.00,0.0,78,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200530,0.00,0.0,82,51
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200531,0.00,0.0,84,57
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200601,0.00,0.0,85,66
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200602,0.31,0.0,70,60
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200603,0.00,0.0,70,46
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200604,0.00,0.0,75,52
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200605,0.00,0.0,73,47
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200606,0.00,0.0,77,50
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200607,0.47,0.0,83,60
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200608,0.00,0.0,89,65
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200609,0.01,0.0,88,65
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200610,0.00,0.0,92,69
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200611,0.00,0.0,92,68
